taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5219578	Cercopithecus mitis Wolf, 1822	5219578	Cercopithecus mitis Wolf, 1822	266	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	LC
5219593	Aotus brumbacki Hershkovitz, 1983	5219593	Aotus brumbacki Hershkovitz, 1983	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Aotidae	3239574	Aotus	2436667	Aotus brumbacki	5219593	VU
2436637	Cebus capucinus (Linnaeus, 1758)	2436637	Cebus capucinus (Linnaeus, 1758)	1759	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Cebus	2436635	Cebus capucinus	2436637	VU
4266952	Tarsius bancanus borneanus Elliot, 1910	8491763	Cephalopachus bancanus borneanus (Elliot, 1910)	19	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Tarsiidae	9426	Cephalopachus	8383434	Cephalopachus bancanus	7503658	VU
2436659	Saimiri Voigt, 1831	2436659	Saimiri Voigt, 1831	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659			NE
9318736	Plecturocebus vieirai (Gualda-Barros, Nascimento & Amaral, 2012)	9318736	Plecturocebus vieirai (Gualda-Barros, Nascimento & Amaral, 2012)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus vieirai	9318736	DD
2436614	Macaca tonkeana (Meyer, 1899)	2436614	Macaca tonkeana (Meyer, 1899)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca tonkeana	2436614	VU
4266995	Piliocolobus tephrosceles (Elliot, 1907)	4266995	Piliocolobus tephrosceles (Elliot, 1907)	64	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Piliocolobus	4266981	Piliocolobus tephrosceles	4266995	EN
4267297	Otolemur crassicaudatus crassicaudatus	4267297	Otolemur crassicaudatus crassicaudatus	20	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Otolemur	2436509	Otolemur crassicaudatus	8978926	LC
5219586	Papio hamadryas (Linnaeus, 1758)	5219586	Papio hamadryas (Linnaeus, 1758)	38	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Papio	5219585	Papio hamadryas	5219586	LC
