,rank,class_name,space_number,synonym,name,author,year,father
2125,species,"Microcebus griseorufus Kollman, 1910 ",24,0,Microcebus griseorufus Kollman,, 1910 ,Microcebus É. Geoffroy Saint-Hilaire
2126,species,"Microcebus jollyae Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor & Brenneman, 2006 ",24,0,Microcebus jollyae Louis Jr.,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2127,species,"Microcebus jonahi Schüssler, Blanco, Salmona, Poelstra, Andriambeloson, Miller, Randrianambinina et al., 2020 ",24,0,Microcebus jonahi Schüssler,, 2020 ,Microcebus É. Geoffroy Saint-Hilaire
2128,species,"Microcebus lehilahytsara Roos & Kappeler in Kappeler, Rasoloarison, Razafimanantsoa, Walter & Roos, 2005 ",24,0,Microcebus lehilahytsara Roos & Kappeler in Kappeler,, 2005 ,Microcebus É. Geoffroy Saint-Hilaire
2129,species,"Microcebus macarthurii Radespiel, Olivieri, Rasolofoson, Rakotondratsimba, Rakotonirainy, Rasoloharijoana et al., 2008 ",24,0,Microcebus macarthurii Radespiel,, 2008 ,Microcebus É. Geoffroy Saint-Hilaire
2130,species,"Microcebus mamiratra Andriantompohavana, Zaonarivelo, Engberg, Randriamampionona, McGuire, Shore et al., 2006 ",24,0,Microcebus mamiratra Andriantompohavana,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2131,species,"Microcebus manitatra Hotaling, Foley, Lawrence, Bocanegra, Blanco et al., 2016 ",24,0,Microcebus manitatra Hotaling,, 2016 ,Microcebus É. Geoffroy Saint-Hilaire
2132,species,"Microcebus margotmarshae Louis Jr., Engberg, McGuire, McCormick, Randriamampionona, Ranaivoarisoa, Bailey et al., 2008 ",24,0,Microcebus margotmarshae Louis Jr.,, 2008 ,Microcebus É. Geoffroy Saint-Hilaire
2133,species,"Microcebus marohita Rasoloarison, Weisrock, Yoder, Rakotondravony & Kappeler, 2013 ",24,0,Microcebus marohita Rasoloarison,, 2013 ,Microcebus É. Geoffroy Saint-Hilaire
2134,species,"Microcebus mittermeieri Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor & Brenneman, 2006 ",24,0,Microcebus mittermeieri Louis Jr.,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2135,species,"Microcebus murinus (J. F. Miller, 1777) ",24,0,Microcebus murinus ,J. F. Miller,1777,Microcebus É. Geoffroy Saint-Hilaire
2136,species,"Cheirogaleus minor Gray, 1842 ",26,1,Cheirogaleus minor Gray,, 1842 ,Microcebus É. Geoffroy Saint-Hilaire
2137,species,"Chirogaleus gliroides A. Grandidier, 1868 ",26,1,Chirogaleus gliroides A. Grandidier,, 1868 ,Microcebus É. Geoffroy Saint-Hilaire
2138,species,"Galago madagascarensis É. Geoffroy Saint-Hilaire, 1812 ",26,1,Galago madagascarensis É. Geoffroy Saint-Hilaire,, 1812 ,Microcebus É. Geoffroy Saint-Hilaire
2139,species,"Lemur prehensilis Kerr, 1792 ",26,1,Lemur prehensilis Kerr,, 1792 ,Microcebus É. Geoffroy Saint-Hilaire
2140,species,"Lemur pusillus É. Geoffroy Saint-Hilaire, 1795 ",26,1,Lemur pusillus É. Geoffroy Saint-Hilaire,, 1795 ,Microcebus É. Geoffroy Saint-Hilaire
2141,species,"Myscebus palmarum Lesson, 1840 ",26,1,Myscebus palmarum Lesson,, 1840 ,Microcebus É. Geoffroy Saint-Hilaire
2142,species,"Prosimia minima Boddaert, 1785 ",26,1,Prosimia minima Boddaert,, 1785 ,Microcebus É. Geoffroy Saint-Hilaire
2143,species,"Microcebus myoxinus Peters, 1852 ",24,0,Microcebus myoxinus Peters,, 1852 ,Microcebus É. Geoffroy Saint-Hilaire
2144,species,"Microcebus ravelobensis Zimmerman, Ehresmann, Zeitemann, Radespiel, Randrianambinina & Rakotoarison, 1997 ",24,0,Microcebus ravelobensis Zimmerman,, 1997 ,Microcebus É. Geoffroy Saint-Hilaire
2145,species,"Microcebus rufus (Lesson, 1840) ",24,0,Microcebus rufus ,Lesson,1840,Microcebus É. Geoffroy Saint-Hilaire
2146,species,"Chirogaleus smithii Gray, 1842 ",26,1,Chirogaleus smithii Gray,, 1842 ,Microcebus É. Geoffroy Saint-Hilaire
2147,species,"Microcebus sambiranensis Rasoloarison, Goodman & Ganzhorn, 2000 ",24,0,Microcebus sambiranensis Rasoloarison,, 2000 ,Microcebus É. Geoffroy Saint-Hilaire
2148,species,"Microcebus simmonsi Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor & Brenneman, 2006 ",24,0,Microcebus simmonsi Louis Jr.,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2149,species,"Microcebus tanosi Rasoloarison, Weisrock, Yoder, Rakotondravony & Kappeler, 2013 ",24,0,Microcebus tanosi Rasoloarison,, 2013 ,Microcebus É. Geoffroy Saint-Hilaire
2150,species,"Microcebus tavaratra Rasoloarison, Goodman & Ganzhorn, 2000 ",24,0,Microcebus tavaratra Rasoloarison,, 2000 ,Microcebus É. Geoffroy Saint-Hilaire
2151,genus,"Mirza Gray, 1870 ",22,0,Mirza Gray,, 1870 ,Cheirogaleidae Gray
2152,species,"Mirza coquereli (A. Grandidier, 1867) ",24,0,Mirza coquereli ,A. Grandidier,1867,Mirza Gray
2153,species,"Microcebus coquereli (A. Grandidier, 1867) ",26,1,Microcebus coquereli ,A. Grandidier,1867,Mirza Gray
2154,species,"Mirza zaza Kappeler & Roos in Kappeler, Rasoloarison, Razafimanantsoa, Walter & Roos, 2005 ",24,0,Mirza zaza Kappeler & Roos in Kappeler,, 2005 ,Mirza Gray
2155,genus,"Phaner Gray, 1870 ",22,0,Phaner Gray,, 1870 ,Cheirogaleidae Gray
2156,species,"Phaner electromontis Groves & Tattersall, 1991 ",24,0,Phaner electromontis Groves & Tattersall,, 1991 ,Phaner Gray
2157,species,"Phaner furcifer (de Blainville, 1839) ",24,0,Phaner furcifer ,de Blainville,1839,Phaner Gray
2158,species,"Phaner pallescens Groves & Tattersall, 1991 ",24,0,Phaner pallescens Groves & Tattersall,, 1991 ,Phaner Gray
2159,species,"Phaner parienti Groves & Tattersall, 1991 ",24,0,Phaner parienti Groves & Tattersall,, 1991 ,Phaner Gray
2160,superfamily,"Lemuroidea Gray, 1821 ",18,0,Lemuroidea Gray,, 1821 ,Lemuriformes Gray
